state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
NY,11,NA,NA,$15.50,May 2024 through April 2025,NA
OH,11,NA,NA,$10.70,May 2024 through April 2025,NA
OK,11,0.06916215239083841,117000,$7.25,May 2024 through April 2025,2975
OR,11,NA,NA,$14.70,May 2024 through April 2025,NA
PA,11,0.03798544538640503,213000,$7.25,May 2024 through April 2025,5224
RI,11,NA,NA,$15.00,May 2024 through April 2025,NA
SC,11,0.05050714432005778,111000,$7.25,May 2024 through April 2025,2875
SD,11,NA,NA,$11.50,May 2024 through April 2025,NA
TN,11,0.045595708052943135,136000,$7.25,May 2024 through April 2025,3312
TX,11,0.06023454226108484,802000,$7.25,May 2024 through April 2025,12063
UT,11,0.025915118562891568,41000,$7.25,May 2024 through April 2025,3979
VA,11,NA,NA,$12.41,May 2024 through April 2025,NA
VT,11,NA,NA,$14.01,May 2024 through April 2025,NA
WA,11,NA,NA,$16.66,May 2024 through April 2025,NA
WI,11,0.02702645512999334,75000,$7.25,May 2024 through April 2025,3757
WV,11,0.06467805989414788,44000,$8.75,May 2024 through April 2025,3141
WY,11,0.048843971782628115,12000,$7.25,May 2024 through April 2025,2710
AK,12,NA,NA,$11.91,May 2024 through April 2025,NA
AL,12,0.08068257404629497,169000,$7.25,May 2024 through April 2025,2522
AR,12,0.08393330144576762,107000,$11.00,May 2024 through April 2025,2940
AZ,12,NA,NA,$14.70,May 2024 through April 2025,NA
CA,12,NA,NA,$16.50,May 2024 through April 2025,NA
CO,12,NA,NA,$14.81,May 2024 through April 2025,NA
CT,12,NA,NA,$16.35,May 2024 through April 2025,NA
DC,12,NA,NA,$17.50,May 2024 through April 2025,NA
DE,12,NA,NA,$15.00,May 2024 through April 2025,NA
FL,12,NA,NA,$13.00,May 2024 through April 2025,NA
GA,12,0.07060293292756324,319000,$7.25,May 2024 through April 2025,3481
HI,12,NA,NA,$14.00,May 2024 through April 2025,NA
IA,12,0.051849816548353585,74000,$7.25,May 2024 through April 2025,2426
ID,12,0.05490973300938797,47000,$7.25,May 2024 through April 2025,3982
IL,12,NA,NA,$15.00,May 2024 through April 2025,NA
IN,12,0.05121176028073173,156000,$7.25,May 2024 through April 2025,3383
KS,12,0.059790648550185246,80000,$7.25,May 2024 through April 2025,2819
KY,12,0.08130845505379772,143000,$7.25,May 2024 through April 2025,1977
LA,12,0.13859547681677986,237000,$7.25,May 2024 through April 2025,2837
MA,12,NA,NA,$15.00,May 2024 through April 2025,NA
MD,12,NA,NA,$15.00,May 2024 through April 2025,NA
ME,12,NA,NA,$14.65,May 2024 through April 2025,NA
MI,12,NA,NA,$12.48,May 2024 through April 2025,NA
MN,12,NA,NA,$11.13,May 2024 through April 2025,NA
MO,12,NA,NA,$13.75,May 2024 through April 2025,NA
MS,12,0.11677438669127223,132000,$7.25,May 2024 through April 2025,2769
MT,12,0.041610617225669284,19000,$10.55,May 2024 through April 2025,3384
NC,12,0.07027929790937812,321000,$7.25,May 2024 through April 2025,3547
ND,12,0.02793444348450686,10000,$7.25,May 2024 through April 2025,3415
NE,12,NA,NA,$13.50,May 2024 through April 2025,NA
NH,12,0.023328249196409974,16000,$7.25,May 2024 through April 2025,2866
NJ,12,NA,NA,$15.49,May 2024 through April 2025,NA
NM,12,NA,NA,$12.00,May 2024 through April 2025,NA
NV,12,NA,NA,$12.00,May 2024 through April 2025,NA
NY,12,NA,NA,$15.50,May 2024 through April 2025,NA
OH,12,0.04848857953310499,248000,$10.70,May 2024 through April 2025,5268
OK,12,0.09550004531073972,161000,$7.25,May 2024 through April 2025,2975
OR,12,NA,NA,$14.70,May 2024 through April 2025,NA
PA,12,0.05118793644184238,287000,$7.25,May 2024 through April 2025,5224
RI,12,NA,NA,$15.00,May 2024 through April 2025,NA
SC,12,0.0661675532165756,146000,$7.25,May 2024 through April 2025,2875
SD,12,NA,NA,$11.50,May 2024 through April 2025,NA
TN,12,0.06027109836688241,180000,$7.25,May 2024 through April 2025,3312
TX,12,0.08357231203456182,1113000,$7.25,May 2024 through April 2025,12063
UT,12,0.03883421846933308,61000,$7.25,May 2024 through April 2025,3979
VA,12,NA,NA,$12.41,May 2024 through April 2025,NA
VT,12,NA,NA,$14.01,May 2024 through April 2025,NA
WA,12,NA,NA,$16.66,May 2024 through April 2025,NA
WI,12,0.03635412296702196,101000,$7.25,May 2024 through April 2025,3757
WV,12,0.0877249745449089,60000,$8.75,May 2024 through April 2025,3141
WY,12,0.06192837666363359,15000,$7.25,May 2024 through April 2025,2710
AK,13,0.026476724969883843,8000,$11.91,May 2024 through April 2025,2221
AL,13,0.12111077310853044,253000,$7.25,May 2024 through April 2025,2522
AR,13,0.1220884568796728,155000,$11.00,May 2024 through April 2025,2940
AZ,13,NA,NA,$14.70,May 2024 through April 2025,NA
CA,13,NA,NA,$16.50,May 2024 through April 2025,NA
CO,13,NA,NA,$14.81,May 2024 through April 2025,NA
CT,13,NA,NA,$16.35,May 2024 through April 2025,NA
DC,13,NA,NA,$17.50,May 2024 through April 2025,NA
DE,13,NA,NA,$15.00,May 2024 through April 2025,NA
FL,13,NA,NA,$13.00,May 2024 through April 2025,NA
GA,13,0.10406638133000057,470000,$7.25,May 2024 through April 2025,3481
HI,13,NA,NA,$14.00,May 2024 through April 2025,NA
IA,13,0.08556241355328399,122000,$7.25,May 2024 through April 2025,2426
ID,13,0.07710086510771351,66000,$7.25,May 2024 through April 2025,3982
IL,13,NA,NA,$15.00,May 2024 through April 2025,NA
IN,13,0.07712331571833154,235000,$7.25,May 2024 through April 2025,3383
KS,13,0.0946310177239737,126000,$7.25,May 2024 through April 2025,2819
KY,13,0.11683637637199056,205000,$7.25,May 2024 through April 2025,1977
LA,13,0.189606752903988,324000,$7.25,May 2024 through April 2025,2837
MA,13,NA,NA,$15.00,May 2024 through April 2025,NA
MD,13,NA,NA,$15.00,May 2024 through April 2025,NA
ME,13,NA,NA,$14.65,May 2024 through April 2025,NA
MI,13,NA,NA,$12.48,May 2024 through April 2025,NA
MN,13,0.03032100808303624,81000,$11.13,May 2024 through April 2025,3160
MO,13,NA,NA,$13.75,May 2024 through April 2025,NA
MS,13,0.16850173478601704,190000,$7.25,May 2024 through April 2025,2769
MT,13,0.06205751441899021,29000,$10.55,May 2024 through April 2025,3384
NC,13,0.10526136500528119,482000,$7.25,May 2024 through April 2025,3547
ND,13,0.03793599757318109,14000,$7.25,May 2024 through April 2025,3415
NE,13,NA,NA,$13.50,May 2024 through April 2025,NA
NH,13,0.03438636335986069,23000,$7.25,May 2024 through April 2025,2866
